Dish,Dieting_Level,Spice_Level,Time_of_Day,Age_Group,Preferred_Cuisine
Lasagna,High,Medium,Dinner,Senior,Italian
Sweet & Sour,Medium,Medium,Dinner,Child,Chinese
Quesadilla,High,Spicy,Lunch,Senior,Mexican
Sweet & Sour,Low,Spicy,Dinner,Child,Chinese
Idli,High,Spicy,Breakfast,Senior,Indian
Fried Rice,Low,Medium,Lunch,Child,Chinese
Frittata,Low,Mild,Breakfast,Adult,Italian
Fries,Low,Medium,Lunch,Senior,American
Tandoori,High,Mild,Dinner,Child,Indian
Biryani,High,Spicy,Lunch,Child,Indian
Frittata,Medium,Spicy,Breakfast,Senior,Italian
Fries,Medium,Mild,Lunch,Child,American
Burger,High,Spicy,Lunch,Senior,American
Idli,Low,Medium,Breakfast,Adult,Indian
Salad,High,Mild,Dinner,Senior,American
Pancakes,High,Medium,Breakfast,Adult,American
Sweet & Sour,High,Mild,Dinner,Child,Chinese
Pancakes,Low,Spicy,Breakfast,Adult,American
Enchilada,Low,Mild,Dinner,Adult,Mexican
Pancakes,Medium,Medium,Breakfast,Adult,American
Burrito,Low,Medium,Lunch,Adult,Mexican
Steak,High,Spicy,Dinner,Child,American
Chili,Low,Spicy,Dinner,Senior,Mexican
Tandoori,Low,Medium,Dinner,Adult,Indian
Chili,Low,Mild,Dinner,Senior,Mexican
Tacos,Low,Spicy,Breakfast,Adult,Mexican
Quesadilla,High,Medium,Lunch,Child,Mexican
Curry,Medium,Mild,Lunch,Senior,Indian
Enchilada,Medium,Mild,Dinner,Child,Mexican
Noodles,Low,Medium,Lunch,Senior,Chinese
Curry,Low,Spicy,Lunch,Child,Indian
Lasagna,High,Spicy,Dinner,Adult,Italian
Paratha,Low,Mild,Breakfast,Senior,Indian
Frittata,High,Spicy,Breakfast,Adult,Italian
Pasta,Medium,Mild,Lunch,Adult,Italian
Dim Sum,High,Medium,Breakfast,Senior,Chinese
Enchilada,Medium,Medium,Dinner,Child,Mexican
Burrito,High,Medium,Lunch,Adult,Mexican
Burger,High,Medium,Lunch,Senior,American
Dim Sum,Low,Spicy,Breakfast,Child,Chinese
Pizza,High,Medium,Lunch,Adult,Italian
Fries,Medium,Medium,Lunch,Child,American
Sweet & Sour,High,Spicy,Dinner,Child,Chinese
Dim Sum,High,Medium,Breakfast,Senior,Chinese
Burrito,High,Spicy,Lunch,Senior,Mexican
Salad,Low,Mild,Dinner,Adult,American
Paneer,Low,Mild,Dinner,Child,Indian
Frittata,Medium,Medium,Breakfast,Senior,Italian
Sweet & Sour,Medium,Mild,Dinner,Senior,Chinese
Tacos,High,Mild,Breakfast,Child,Mexican
Burrito,Medium,Mild,Lunch,Child,Mexican
Burrito,High,Spicy,Lunch,Senior,Mexican
Tandoori,High,Spicy,Dinner,Adult,Indian
Enchilada,High,Spicy,Dinner,Senior,Mexican
Quesadilla,Low,Medium,Lunch,Adult,Mexican
Paneer,Medium,Mild,Dinner,Adult,Indian
Dumplings,Low,Spicy,Dinner,Adult,Chinese
Tacos,Low,Mild,Breakfast,Child,Mexican
Curry,Low,Medium,Lunch,Senior,Indian
Pancakes,Low,Medium,Breakfast,Senior,American
Burrito,Low,Spicy,Lunch,Adult,Mexican
Lasagna,Medium,Mild,Dinner,Child,Italian
Chili,Low,Spicy,Dinner,Senior,Mexican
Tandoori,High,Medium,Dinner,Adult,Indian
Pancakes,High,Medium,Breakfast,Senior,American
Paneer,High,Spicy,Dinner,Senior,Indian
Burrito,Medium,Spicy,Lunch,Child,Mexican
Idli,Medium,Mild,Breakfast,Adult,Indian
Curry,High,Mild,Lunch,Child,Indian
Dim Sum,Medium,Medium,Breakfast,Senior,Chinese
Dim Sum,Low,Spicy,Breakfast,Child,Chinese
Dumplings,Low,Spicy,Dinner,Senior,Chinese
Pizza,Low,Mild,Lunch,Senior,Italian
Tacos,High,Spicy,Breakfast,Child,Mexican
Noodles,Medium,Mild,Lunch,Child,Chinese
Chili,Medium,Mild,Dinner,Senior,Mexican
Pancakes,High,Spicy,Breakfast,Adult,American
Sweet & Sour,Low,Spicy,Dinner,Child,Chinese
Chili,Low,Mild,Dinner,Adult,Mexican
Tacos,High,Spicy,Breakfast,Adult,Mexican
Paratha,Low,Medium,Breakfast,Senior,Indian
Tacos,Medium,Spicy,Breakfast,Adult,Mexican
Tacos,High,Medium,Breakfast,Senior,Mexican
Frittata,Low,Mild,Breakfast,Child,Italian
